xPathImage,xPathProductName,xPathPrice,xPathReview,xPathDescription,domain
#product_addtocart_form > div.product-media > div.product-gallery > div > a:nth-of-type(1),#product_addtocart_form > div.product-shop > h2,#product_addtocart_form > div.product-shop > div.price-box,,#product_addtocart_form > div.product-shop > dl.accordion > dd:nth-of-type(2),www.parajumpers.it
,#bestellform > div.exchangepart > div.orderForm > div,#bestellform > div.exchangepart > div.orderForm > fieldset > div.preisinformationen > p.preis,,#bestellform > div.descriptions,www.manufactum.de
